Size	O1	O2	O3	O4	O5	O6
1000	2.5000	1.2500	2.5000	1.6666	2.5000	2.5000	

2000	2.0000	1.6666	1.6666	2.0000	2.0000	2.0000	

4000	1.8333	1.8333	2.0000	2.0000	1.8333	1.8333	

8000	1.7600	1.7600	1.8333	1.8333	1.8333	1.8333	

16000	1.6981	1.7647	1.8750	1.8750	1.8367	1.8367	

32000	1.7196	1.6880	1.8400	1.8039	1.8400	1.7864	

64000	1.6803	1.1682	1.7692	1.8680	1.8775	1.6283	

128000	1.4422	1.7702	1.8758	1.8758	1.7782	1.8669	

256000	1.7327	1.7073	1.6604	1.7308	1.7860	1.8095	

512000	1.9805	1.5691	1.9107	1.7378	1.7341	1.6944	

1024000	2.0206	1.9364	1.6328	2.3886	2.2279	2.0884	

2048000	2.2795	2.1382	2.3210	2.2829	2.3415	2.0315	

4096000	2.5045	2.2423	2.3818	2.4364	2.3445	2.4302	

8192000	2.6189	2.4291	2.5218	2.5691	2.5813	2.2172	

16384000	2.1947	2.5688	2.8183	2.7995	2.8123	2.7682	

32768000	2.8843	2.7067	3.0792	2.9922	3.0254	3.0926	

65536000	2.8991	2.8030	3.1532	3.1547	3.1488	3.1821	

131072000	2.8365	2.6861	3.2595	3.4477	3.3551	3.0266	

262144000	2.7705	2.7944	2.7676	3.2425	3.4518	3.4993	

524288000	2.4989	2.5184	2.5848	2.7997	2.5242	2.4322	

