Size	O1	O2	O3	O4	O5	O6
1000	1.6666	1.6666	1.6666	1.6666	1.6666	1.6666	

2000	1.8333	1.8333	1.5714	1.5714	2.2000	1.8333	

4000	1.6153	1.7500	1.7500	1.7500	1.7500	1.9090	

8000	1.6111	2.3200	1.8709	2.0714	2.2307	2.3200	

16000	1.7358	1.7037	1.8039	1.8039	1.8039	1.8400	

32000	2.2631	2.0314	1.9398	1.9111	1.8695	2.1680	

64000	1.9739	1.5183	1.6814	1.7874	1.6389	1.6752	

128000	1.7841	1.7690	1.7216	1.5293	1.5377	1.5607	

256000	1.8970	1.7913	2.0332	1.6877	1.8135	2.0354	

512000	2.1207	1.7967	1.8096	1.7967	1.9729	2.0872	

1024000	1.9294	1.9500	2.3278	2.1891	2.1130	2.1685	

2048000	2.0173	1.9139	2.1178	2.4897	2.3229	2.3370	

4096000	2.3869	2.4419	2.5681	2.3865	2.5381	2.6089	

8192000	2.4719	2.6328	2.8759	2.7749	2.7977	2.7751	

16384000	2.6163	2.6576	2.8259	2.8421	2.8468	2.8491	

32768000	2.8276	2.7814	3.1777	3.1969	3.1396	3.1341	

65536000	2.8690	2.8501	3.1605	3.1289	3.2756	3.1935	

131072000	2.7761	2.8010	3.1791	3.2378	3.1756	3.2791	

262144000	2.9343	2.9618	3.2457	3.1820	3.2687	3.3312	

524288000	2.9629	2.9600	3.0177	3.0007	3.0321	2.9866	

