BBLCOUNT        1.0         0
0x7effe43ca140 1 4 26
0x7effe43c36ea 1 2 8
0x7effe43c36d0 1 4 26
0x7effe43f4847 1 5 19
0x7effe447c206 4 4 12
0x7effe447c201 4 2 5
0x7effe447c1f5 4 5 12
0x7effe447c1a7 4 15 78
0x7effe447c190 4 4 23
0x7effe43f482f 1 4 24
0x7effe43f4822 1 3 13
0x7effe43f4800 3 10 34
0x7effe43f482f 0 4 24
0x7effe43f4822 0 3 13
0x7effe43f47d0 1 18 82
0x7effe43c7ea3 1 1 1
0x7effe43c7e76 0 3 19
0x7effe43f4927 1 5 19
0x7effe43c759b 1 7 36
0x7effe43c75bf 1 3 12
0x7effe43c75cb 0 3 16
0x7effe43c75f0 1 1 2
0x7effe43f490f 1 4 24
0x7effe43f4902 1 3 13
0x7effe43f48e0 3 10 34
0x7effe43f490f 0 4 24
0x7effe43f4902 0 3 13
0x7effe43f48b0 1 18 82
0x7effe43c5eea 1 2 8
0x7effe43c5ed0 1 4 26
0x7effe43c5b5a 1 2 8
0x7effe43c5b40 1 4 26
0x7effe43ca193 1 1 1
0x7effe43ca166 0 3 19
0x7effe43ca15a 0 2 12
0x7effe43c7e50 1 4 26
0x7effe43c7e6a 0 2 12
0x4003f0 1 4 16
0x400400 0 1 5
0x400405 1 2 5
0x400410 1 2 12
0x400430 1 1 6
0x400436 1 2 10
0x400450 1 11 41
0x400480 1 6 21
0x400495 0 3 10
0x40049f 0 3 8
0x4004b0 1 2 2
0x4004c0 1 10 35
0x4004e3 0 3 10
0x4004ed 0 3 8
0x4004f8 1 2 2
0x400512 1 3 10
0x400509 1 3 9
0x400500 1 2 9
0x400520 1 3 11
0x40052b 1 1 2
0x4005e8 1 2 16
0x4005f8 0 4 20
0x400611 1 2 2
0x40060c 0 1 5
0x4005f8 1 4 20
0x40056c 1000 23 140
0x40060c 0 1 5
0x400546 1 8 38
0x400676 1 8 15
0x40066d 1 3 9
0x400656 1 6 23
0x400651 1 2 5
0x400620 1 15 49
0x400694 1 3 9
0x7effe4359560 1 3 17
0x7effe43593b3 1 15 53
0x7effe435937e 1 11 53
0x7effe4359571 0 6 20
0x7effe4359583 1 1 2
0x7effe43592c0 1 9 24
0x7effe43592d8 0 2 9
0x7effe43592e1 0 6 9
0x7effe43592ea 1 4 17
0x7effe43592fb 1 4 16
0x7effe435930b 1 4 17
0x7effe435931c 1 2 6
0x7effe4359322 1 5 24
0x7effe4359352 1 3 8
0x7effe435935a 4 2 4
0x7effe435935e 0 3 10
0x7effe4359368 0 2 4
0x7effe4359340 4 6 18
0x7effe4359352 3 3 8
0x7effe4359498 1 5 21
0x7effe43594ad 1 2 6
0x7effe43594b3 1 6 19
0x7effe43594c6 2 4 13
0x7effe43594d3 2 2 4
0x7effe43594d7 2 3 11
0x7effe43594bb 1 4 11
0x7effe43594e2 1 15 44
0x7effe435950e 0 2 9
0x7effe4359517 0 3 13
0x7effe4359363 1 2 5
0x7effe4359368 1 2 4
0x7effe435936c 1 7 18
0x7effe43595c3 0 3 10
0x7effe43595cd 0 22 112
0x7effe43596d0 1 6 37
0x7effe43596f5 0 1 5
0x7effe43595d7 1 21 102
0x7effe435963d 0 3 17
0x7effe435964e 0 5 27
0x7effe435961b 3 10 34
0x7effe435963d 1 3 17
0x7effe435964e 1 5 27
0x7effe4359669 1 2 9
0x7effe4359672 1 6 35
0x7effe4359695 1 7 34
0x7effe43596b7 1 1 5
0x7effe43595a0 1 11 35
0x7effe43596bc 1 6 11
0x7effe43597bf 1 4 23
0x7effe43597aa 1 5 21
0x7effe43597a5 1 2 5
0x7effe4359740 1 13 48
0x7effe43597d6 1 2 8
0x7effe43597de 1 2 10
0x7effe43597e8 1 2 4
0x7effe43597ec 1 12 68
0x7effe4359830 1 2 7
0x7effe4359770 0 8 23
0x7effe4359787 0 4 12
0x7effe4359837 1 2 7
0x7effe4359779 1 4 14
0x7effe4359787 1 4 12
0x7effe4359793 1 4 18
0x7effe4367150 1 16 80
0x7effe436e22f 1 4 7
0x7effe436e21a 0 4 13
0x7effe436e210 1 5 10
0x7effe436e1b0 1 19 88
0x7effe436e250 1 2 7
0x7effe4372f98 1 1 3
0x7effe4372f9b 1 3 9
0x7effe4372fa4 1 2 7
0x7effe4372f85 1 4 19
0x7effe4372f80 1 2 5
0x7effe4372f6f 1 4 17
0x7effe4372f5a 0 2 6
0x7effe4372f45 0 5 21
0x7effe4372f30 1 6 21
0x7effe4372ff8 1 1 5
0x7effe4372fd8 1 8 32
0x7effe4372f66 0 3 9
0x7effe4372f60 0 2 6
0x7effe4372f5a 1 2 6
0x7effe4372f45 1 5 21
0x7effe4372f30 1 6 21
0x7effe4372f27 1 3 9
0x7effe4372f10 1 9 23
0x7effe4373030 1 4 21
0x7effe43730a0 1 8 25
0x7effe43730b9 0 2 10
0x7effe43730c3 0 1 2
0x7effe43730c5 1 2 9
0x7effe43730ce 0 3 19
0x7effe43730e8 1 5 17
0x7effe43730f9 1 4 16
0x7effe4373109 0 5 19
0x7effe4373147 1 5 23
0x7effe437315e 0 2 5
0x7effe43731fb 1 3 14
0x7effe437318a 1 4 24
0x7effe43731a2 0 2 9
0x7effe43731ab 0 1 2
0x7effe43731ad 1 2 8
0x7effe43731b5 0 3 19
0x7effe43731cf 1 5 10
0x7effe4373299 1 2 5
0x7effe437329e 1 12 42
0x7effe4373280 1 8 25
0x7effe437361e 1 4 7
0x7effe43735d7 0 8 40
0x7effe43735c0 1 7 23
0x7effe43b5438 1 7 14
0x7effe43b53d3 2 2 5
0x7effe43b53c0 3 4 19
0x7effe43b53e2 0 4 18
0x7effe43b5118 0 3 13
0x7effe43b5165 3 3 14
0x7effe43b5173 0 4 17
0x7effe43b5184 0 4 18
0x7effe43b53d8 0 3 10
0x7effe43b53d3 1 2 5
0x7effe43b533d 0 1 5
0x7effe43b532a 1 4 19
0x7effe43b524f 1 9 17
0x7effe43b5234 0 6 27
0x7effe43b522f 1 2 5
0x7effe43b5118 0 3 13
0x7effe43b510f 0 3 9
0x7effe43b5100 2 4 15
0x7effe43b5217 1 2 5
0x7effe43b520a 3 3 13
0x7effe43b51f0 3 4 26
0x7effe43b51ae 0 3 13
0x7effe43b53d8 2 3 10
0x7effe43b5280 3 3 14
0x7effe43b528e 3 1 5
0x7effe43b51a1 3 2 5
0x7effe43b51a6 0 2 8
0x7effe43b5260 1 5 26
0x7effe43b5049 0 6 38
0x7effe43b5039 0 3 16
0x7effe43b5020 1 10 25
0x7effe43b5310 1 8 26
0x7effe43b527a 0 2 4
0x7effe43b50db 1 3 13
0x7effe43b5103 1 3 12
0x7effe43b510f 0 3 9
0x7effe43c58a6 1 3 8
0x7effe43c5896 1 4 16
0x7effe43c5875 1 9 33
0x7effe43c5850 1 8 37
0x7effe43e2d74 0 2 5
0x7effe43e2d6f 1 2 5
0x7effe43e2d6a 3 2 5
0x7effe43e2d6a 0 2 5
0x7effe43e2d65 0 2 5
0x7effe43e2d4a 1 7 27
0x7effe43e2d4a 0 7 27
0x7effe43e2d46 0 2 4
0x7effe43e2d34 1 6 18
0x7effe43e2f99 2 8 15
0x7effe43e2f1a 0 5 16
0x7effe43e2f15 2 2 5
0x7effe43e2cc9 2 6 11
0x7effe43e2cb8 0 2 4
0x7effe43e2c40 6 3 13
0x7effe43e2cc7 2 7 13
0x7effe43e2cbc 8 3 11
0x7effe43e2c9a 32 5 15
0x7effe43e2c92 36 3 8
0x7effe43e2c90 40 1 2
0x7effe43e2d6a 1 2 5
0x7effe43e2d65 1 2 5
0x7effe43e2d60 3 2 5
0x7effe43e2dc1 0 3 10
0x7effe43e2dbc 0 2 5
0x7effe43e2db1 3 4 11
0x7effe43e2dac 0 2 5
0x7effe43e2d93 3 8 25
0x7effe43e2d88 3 3 11
0x7effe43e2d7e 3 4 10
0x7effe43e2d7e 0 4 10
0x7effe43e2d79 0 2 5
0x7effe43e2d74 3 2 5
0x7effe43e2c58 6 2 5
0x7effe43e2c4d 6 2 11
0x7effe43e2eb0 2 2 9
0x7effe43e2eb9 2 15 52
0x7effe43e2f53 2 2 7
0x7effe43e2f5a 2 5 15
0x7effe43e2f69 2 4 16
0x7effe43e2ef0 2 4 13
0x7effe43e2be0 4 2 8
0x7effe43e2be8 4 15 48
0x7effe43e2c18 4 11 53
0x7effe43e2c4d 4 2 11
0x7effe43e2c58 2 2 5
0x7effe43e2c5d 0 2 5
0x7effe43e2c6f 8 9 33
0x7effe43e2c90 8 1 2
0x7effe43e2c92 4 3 8
0x7effe43e2e23 2 16 50
0x7effe43e2dd4 0 2 9
0x7effe43e2dcb 0 2 9
0x7effe43e2dc1 2 3 10
0x7effe43e2ca9 0 4 15
0x7effe43e2d2c 1 2 8
0x7effe43e2c9a 8 5 15
0x7effe43e2d0d 2 10 31
0x7effe43e2d06 2 3 7
0x7effe43e2cfd 2 3 9
0x7effe43e2f06 2 5 15
0x7effe43e2efd 2 2 9
0x7effe43e2c92 4 3 8
0x7effe43e2c90 6 1 2
0x7effe43e2c80 6 5 16
0x7effe43e2ce1 4 1 2
0x7effe43e2cd8 10 3 9
0x7effe4404b60 1 5 23
0x7effe4404b90 1 3 8
0x7effe443f6a0 1 2 5
0x7effe443f6a5 1 6 14
0x7effe443f6b3 1 4 16
0x7effe443f6c3 1 12 42
0x7efff7f46a70 12 1 6
0x7efff7f46a70 6 1 6
0x7efff7f46a80 11 1 6
0x7efff7f46a80 6 1 6
0x7efff7f46a90 7 1 6
0x7efff7f46a90 2 1 6
0x7efff7f4c1ca 1 11 56
0x7efff7f4c202 0 1 5
0x7efff7f4c21e 1 2 11
0x7efff7f4c229 1 2 10
0x7efff7f4c233 0 2 10
0x7efff7f4c210 3 3 14
0x7efff7f4c21e 2 2 11
0x7efff7f4c229 2 2 10
0x7efff7f4c2d8 1 2 11
0x7efff7f4c2e3 1 2 10
0x7efff7f4c2ed 1 2 13
0x7efff7f4c2fa 1 4 18
0x7efff7f4c30c 1 2 9
0x7efff7f4c315 1 8 40
0x7efff7f4c33d 1 3 12
0x7efff7f4c349 1 15 78
